"energyProduced","id","probability","minTemp","unit","sim","set_"
"","1","0.00001","null","0","0","0"
"","2","0.00001","null","0","0","0"
"","3","0.00075","null","0","0","0"
"","4","0.0015","null","0","0","0"
"","5","0.0015","null","0","0","0"
"","6","0.0015","null","0","0","0"
"","7","0.0075","null","0","0","0"
"","8","0.015","null","0","0","0"
"","9","0.015","null","0","0","0"
"","10","0.03","null","0","0","0"
"","11","0.03","null","0","0","0"
"","12","0.12","null","0","0","0"
"","13","0.5","null","0","0","0"
"","14","1","null","0","0","0"
"","15","1","110","0","0","0"
"","16","null","null","3","1","1"
"","17","null","null","3","1","2"
"","18","null","null","3","1","3"
"","19","null","null","3","1","4"
"","20","null","null","3","1","5"
"","21","null","null","3","1","6"
"","22","null","null","3","1","7"
"","23","null","null","3","1","8"
"","24","null","null","3","1","9"
"","25","null","null","3","1","10"
"","26","null","null","3","2","1"
"","27","null","null","3","2","1"
"","28","null","null","3","2","1"
"","29","null","null","3","2","1"
"","30","null","null","5","1","1"
"","31","null","null","5","1","2"
"","32","null","null","5","2","1"
"","33","null","null","5","2","2"
"","34","null","null","5","3","3"
"","35","null","null","5","3","4"
"","36","null","null","5","3","5"
"","37","null","null","5","3","6"
"","38","null","null","5","4","1"
"","39","null","null","5","4","2"
"","40","null","null","5","4","3"
"","41","null","null","5","3","7"
"","42","null","null","5","3","1"
"","43","null","null","7","1","1"
"","44","null","null","7","1","2"
"","45","null","null","7","1","3"
"","46","null","null","7","1","4"
"","47","null","null","7","2","1"
"","48","null","null","6","1","1"
"","49","null","null","6","3","1"
"","50","null","null","6","4","1"
"","51","null","null","6","7","1"
"","52","null","null","6","7","2"
"","53","null","null","6","7","3"
"","54","null","null","6","8","1"
"","55","null","null","6","8","3"
"","56","null","null","6","8","2"
"","57","null","null","8","1","1"
"","58","null","null","8","1","2"
"","59","null","null","8","1","3"
"","60","null","null","8","2","1"
"","61","null","null","8","2","2"
"","62","null","null","8","2","3"
"","63","null","null","8","2","4"
"","64","null","null","8","3","1"
"","65","null","null","8","3","2"
"","66","null","null","8","3","3"
"","67","null","null","8","3","4"
"","68","null","null","8","4","4"
"","69","null","null","8","4","2"
"","70","null","null","8","4","3"
"","71","null","null","8","4","1"
"","73","null","null","8","6","1"
"","74","null","null","8","5","1"
"","75","null","null","5","3","2"
"","76","null","null","1","4","1"
"","77","null","null","8","6","2"
"","78","null","null","8","6","3"
"","79","null","null","8","6","4"
